メーター,めーたー
メール,めーる
モダン,もだん
モデル,もでる
モーター,もーたー
ユーモア,ゆーもあ
ヨット,よっと
ライター,らいたー
ラグビー,らぐびー
ラケット,らけっと
ラジオ,らじお
ラッシュ,らっしゅ
ラッシュアワー,らっしゅあわー
ランチ,らんち
ランニング,らんぬんぐ
ラーメン,らーめん
リクエスト,りくえすと
リスト,りすと
リズム,りずむ
リットル,りっとる
リボン,りぼん
リモコン,りもこん
リード,りーど
ルーム,るーむ
ルール,るーる
レインコート,れいんこーと
レギュラー,れぎゅらー
レクリエーション,れくりえーしょん
レコード,れこーど
レシート,れしーと
レジャー,れじゃー
レストラン,れすとらん
レベル,れべる
レポート,れぽーと
レモン,れもん
レンズ,れんず
レンタル,れんたる
レントゲン,れんとげん
ロケット,ろけっと
ロッカー,ろっかー
ロック,ろっく
ロビー,ろびー
ロボット,ろぼっと
ロマンチック,ろまんちっく
ロープ,ろーぷ
ローマ字,ろーまじ
ローン,ろーん
ワイシャツ,わいしゃつ
ワイン,わいん
ワンピース,わんぴーす
ワープロ,わーぷろ
一,いち
一々,いちいち
一つ,ひとつ
一まず,ひとまず
一人,ひとり
一人で,ひとりで
一人一人,ひとりひとり
一人前,いちにんまえ
一休み,ひとやすみ
一体,いったい
一円,いちえん
一切,いっさい
一口,ひとくち
一同,いちどう
一向に,いっこうに
一周,いっしゅう
一員,いちいん
一定,いってい
一家,いっか
一層,いっそう
一帯,いったい
一度に,いちどに
一心に,いっしんに
一応,いちおう
一挙に,いっきょに
一握り,ひとにぎり
一斉に,いっせいに
一方,いっぽう
一日,ついたち
一旦,いったん
一昔,ひとむかし
一昨年,いっさくねん
一昨年,おととし
一昨日,いっさくじつ
一昨日,おととい
一時,いちじ
一時,ひととき
一杯,いっぱい
一概に,いちがいに
一様,いちよう
一段と,いちだんと
一段落,いちだんらく
一気に,いっきに
一流,いちりゅう
一生,いっしょう
一生懸命,いっしょうけんめい
一番,いちばん
一目,ひとめ
一瞬,いっしゅん
一種,いっしゅ
一等,いっとう
一緒,いっしょ
一緒に,いっしょに
一致,いっち
一般,いっぱん
一般に,いっぱんに
一行,いっこう
一見,いっけん
一言,ひとこと
一足,ひとあし
一通り,ひととおり
一遍に,いっぺんに
一部,いちぶ
一部分,いちぶぶん
一重,ひとえ
一面,いちめん
一風,いっぷう
丁寧,ていねい
丁度,ちょうど
七,しち
七,なな
七つ,ななつ
七夕,たなばた
七日,なのか
万,まん
万一,まんいち
万事,ばんじ
万人,ばんにん
万年筆,まんねんひつ
万引き,まんびき
万歳,ばんざい
万能,ばんのう
丈夫,じょうぶ
三,さん
三つ,みっつ
三日,みっか
三日月,みかづき
三流,さんりゅう
三角,さんかく
三角形,さんかっけい
上,うえ
上,かみ
上,じょう
上がり,あがり
上がる,あがる
上げる,あげる
上り,のぼり
上る,のぼる
上下,うえした
上下,じょうげ
上京,じょうきょう
上半身,じょうはんしん
上司,じょうし
上品,じょうひん
上手,じょうず
上手い,うまい
上旬,じょうじゅん
上昇,じょうしょう
上映,じょうえい
上流,じょうりゅう
上演,じょうえん
上着,うわぎ
上空,じょうくう
上等,じょうとう
上級,じょうきゅう
上達,じょうたつ
上陸,じょうりく
下,げ
下,した
下,しも
下,もと
下がり,さがり
下がる,さがる
下げる,さげる
下さる,くださる
下す,くだす
下らない,くだらない
下り,くだり
下りる,おりる
下る,くだる
下ろす,おろす
下半身,かはんしん
下品,げひん
下宿,げしゅく
下手,したて
下手,へた
下敷き,したじき
下旬,げじゅん
下書き,したがき
下水,げすい
下流,かりゅう
下町,したまち
下痢,げり
下着,したぎ
下等,かとう
下見,したみ
下調べ,したしらべ
下車,げしゃ
下降,かこう
下駄,げた
不作,ふさく
不便,ふべん
不信,ふしん
不備,ふび
不公平,ふこうへい
不利,ふり
不利益,ふりえき
不動産,ふどうさん
不動産屋,ふどうさんや
不十分,ふじゅうぶん
不可,ふか
不可欠,ふかけつ
不可能,ふかのう
不可解,ふかかい
不可避,ふかひ
不合格,ふごうかく
不合理,ふごうり
不吉,ふきつ
不味い,まずい
不器用,ぶきよう
不在,ふざい
不変,ふへん
不始末,ふしまつ
不孝,ふこう
不安,ふあん
不安定,ふあんてい
不完全,ふかんぜん
不審,ふしん
不平,ふへい
不平等,ふびょうどう
不幸,ふこう
不幸せ,ふしあわせ
不当,ふとう
不得意,ふとくい
不必要,ふひつよう
不快,ふかい
不思議,ふしぎ
不愉快,ふゆかい
不意,ふい
不意に,ふいに
不慣れ,ふなれ
不慮,ふりょ
不振,ふしん
不断,ふだん
不明,ふめい
不時着,ふじちゃく
不景気,ふけいき
不服,ふふく
不本意,ふほんい
不条理,ふじょうり
不機嫌,ふきげん
不正,ふせい
不毛,ふもう
不気味,ぶきみ
不況,ふきょう
不法,ふほう
不注意,ふちゅうい
不満,ふまん
不潔,ふけつ
不燃物,ふねんぶつ
不相応,ふそうおう
不眠,ふみん
不確か,ふたしか
不純,ふじゅん
不能,ふのう
不自然,ふしぜん
不自由,ふじゆう
不良,ふりょう
不要,ふよう
不規則,ふきそく
不親切,ふしんせつ
不足,ふそく
不透明,ふとうめい
不通,ふつう
不運,ふうん
不都合,ふつごう
不順,ふじゅん
与える,あたえる
与党,よとう
且つ,かつ
世,よ
世の中,よのなか
世代,せだい
世帯,せたい
世界,せかい
世相,せそう
世紀,せいき
世話,せわ
世論,せろん
世論,よろん
世間,せけん
丘,おか
両側,りょうがわ
両手,りょうて
両方,りょうほう
両替,りょうがえ
両立,りょうりつ
両端,りょうはし
両者,りょうしゃ
両親,りょうしん
両面,りょうめん
並び,ならび
並ぶ,ならぶ
並べる,ならべる
並み,なみ
並列,へいれつ
並木,なみき
並行,へいこう
中,ちゅう
中,なか
中々,なかなか
中世,ちゅうせい
中傷,ちゅうしょう
中古,ちゅうこ
中和,ちゅうわ
中堅,ちゅうけん
中央,ちゅうおう
中学,ちゅうがく
中学校,ちゅうがっこう
中学生,ちゅうがくせい
中年,ちゅうねん
中庭,なかにわ
中心,ちゅうしん
中性,ちゅうせい
中指,なかゆび
中断,ちゅうだん
中旬,ちゅうじゅん
中核,ちゅうかく
中止,ちゅうし
中毒,ちゅうどく
中流,ちゅうりゅう
中立,ちゅうりつ
中級,ちゅうきゅう
中絶,ちゅうぜつ
中継,ちゅうけい
中継ぎ,なかつぎ
中身,なかみ
中退,ちゅうたい
中途,ちゅうと
中道,ちゅうどう
中間,ちゅうかん
丸,まる
丸々,まるまる
丸い,まるい
丸っきり,まるっきり
丸で,まるで
丸み,まるみ
丸める,まるめる
丸め込む,まるめこむ
主,あるじ
主,おも
主,ぬし
主として,しゅとして
主に,おもに
主人,しゅじん
主任,しゅにん
主体,しゅたい
主催,しゅさい
主婦,しゅふ
主張,しゅちょう
主役,しゅやく
主権,しゅけん
主演,しゅえん
主義,しゅぎ
主要,しゅよう
主観,しゅかん
主観的,しゅかんてき
主題,しゅだい
主食,しゅしょく
丼,どんぶり
久しい,ひさしい
久しぶり,ひさしぶり
乏しい,とぼしい
乗じる,じょうじる
乗ずる,じょうずる
乗っ取る,のっとる
乗り出す,のりだす
乗り回す,のりまわす
乗り換え,のりかえ
乗り換える,のりかえる
乗り気,のりき
乗り物,のりもの
乗り越える,のりこえる
乗り越す,のりこす
乗り込む,のりこむ
乗り遅れる,のりおくれる
乗り降り,のりおり
乗る,のる
乗客,じょうきゃく
乗用車,じょうようしゃ
乗組員,のりくみいん
乗車,じょうしゃ
乗車券,じょうしゃけん
九,きゅう
九,く
九つ,ここのつ
九日,ここのか
乞食,こじき
乱す,みだす
乱れる,みだれる
乱暴,らんぼう
乱用,らんよう
乱雑,らんざつ
乳,ちち
乳児,にゅうじ
乾かす,かわかす
乾く,かわく
乾季,かんき
乾杯,かんぱい
乾燥,かんそう
乾電池,かんでんち
亀,かめ
了承,りょうしょう
了解,りょうかい
予て,かねて
予め,あらかじめ
予備,よび
