領海,りょうかい
良好,りょうこう
良識,りょうしき
良質,りょうしつ
良心,りょうしん
両立,りょうりつ
履歴,りれき
理論,りろん
林業,りんぎょう
類,るい
類似,るいじ
ルーズ,ルーズ
レース,レース
レギュラー,レギュラー
レバー,レバー
バッテリー,バッテリー
バット,バット
発病,はつびょう
果て,はて
果てる,はてる
ばてる,ばてる
阻む,はばむ
浜,はま
浜辺,はまべ
はまる,はまる
遥か,はるか
破裂,はれつ
腫れる,はれる
版画,はんが
反響,はんきょう
パンク,パンク
繁盛,はんじょう
繁殖,はんしょく
半端,はんぱ
控室,ひかえしつ
悲観,ひかん
引き上げる,ひきあげる
引き起こす,ひきおこす
引下げる,ひきさげる
否決,ひけつ
日頃,ひごろ
悲惨,ひさん
秘書,ひしょ
歪む,ひずむ
密か,ひそか
浸す,ひたす
左利き,ひだりきき
必修,ひっしゅう
びっしょり,びっしょり
人気,ひとけ
人目,ひとめ
日取り,ひどり
雛,ひな
雛祭,ひなまつり
日向,ひなた
非難,ひなん
避難,ひなん
火花,ひばな
悲鳴,ひめい
日焼け,ひやけ
描写,びょうしゃ
びら,びら
びり,びり
比率,ひりつ
就任,しゅうにん
周辺,しゅうへん
重役,じゅうやく
祝日,しゅくじつ
主語,しゅご
出勤,しゅっきん
寿命,じゅみょう
循環,じゅんかん
順序,じゅんじょ
純粋,じゅんすい
初～,しょ～
諸～,しょ～
～所,～しょ
～所,～じょ
女～,じょ～
～女,～じょ
賞金,しょうきん
商社,しょうしゃ
乗車,じょうしゃ
生ずる,しょうずる
小数,しょうすう
商店,しょうてん
焦点,しょうてん
消毒,しょうどく
勝敗,しょうはい
蒸発,じょうはつ
上品,じょうひん
小便,しょうべん
正面,しょうめん
消耗,しょうもう
初級,しょきゅう
食塩,しょくえん
職人,しょくにん
初旬,しょじゅん
初歩,しょほ
白髪,しらが
私立,しりつ
汁,しる
芯,しん
人事,じんじ
侵入,しんにゅう
深夜,しんや
針路,しんろ
神話,しんわ
炊事,すいじ
水素,すいそ
垂直,すいちょく
図鑑,ずかん
隙,すき
杉,すぎ
好き嫌い,すききらい
透き通る,すきとおる
隙間,すきま
図形,ずけい
鈴,すず
涼む,すずむ
素直,すなお
頭脳,ずのう
スピーカー,スピーカー
住まい,すまい
～済,～ずみ
相撲,すもう
ずらす,ずらす
ずらり,ずらり
狡い,ずるい
整備,せいび
背負う,せおう
～席,～せき
迫る,せまる
ゼミ,ゼミ
せめて,せめて
台詞,せりふ
栓,せん
～船,～せん
～戦,～せん
前～,ぜん～
～前,～ぜん
前後,ぜんご
全集,ぜんしゅう
扇子,せんす
先祖,せんぞ
センチ,センチ
扇風機,せんぷうき
全力,ぜんりょく
線路,せんろ
～沿い,～そい
総～,そう～
～艘,～そう
相違,そうい
そういえば,そういえば
倉庫,そうこ
相互,そうご
草履,ぞうり
送料,そうりょう
～足,～そく
測量,そくりょう
速力,そくりょく
素質,そしつ
祖先,そせん
卒直,そっちょく
剃る,そる
それなのに,それなのに
逸れる,それる
田ぼ,たんぼ
第～,だい～
大工,だいく
太鼓,たいこ
大小,だいしょう
代名詞,だいめいし
タイア,タイア
田植え,たうえ
絶えず,たえず
楕円,だえん
滝,たき
蓄える,たくわえる
竹,たけ
但し,ただし
立ち止まる,たちどまる
発,はつ
妥当,だとう
頼もしい,たのもしい
ダブル,ダブル
ダム,ダム
だらしない,だらしない
足る,たる
短～,たん～
～団,～だん
おおざっぱ,おおざっぱ
大通り,おおどおり
おかず,おかず
拝む,おがむ
送り仮名,おくりがな
お元気で,おげんきで
伯父,おじ
叔父,おじ
惜しい,おしい
お大事に,おだいじに
落し物,おとしもの
驚かす,おどろかす
伯母,おば
叔母,おば
おめでたい,おめでたい
思い切り,おもいきり
思い込む,おもいこむ
おやつ,おやつ
御中,おんちゅう
～日,～か
～下,～か
～化,～か
～科,～か
～歌,～か
～画,～が
カーブ,カーブ
外～,がい～
～外,～がい
外部,がいぶ
家屋,かおく
垣根,かきね
限り,かぎり
各～,かく～
架空,かくう
各自,かくじ
拡充,かくじゅう
学術,がくじゅつ
各地,かくち
拡張,かくちょう
角度,かくど
学力,がくりょく
可決,かけつ
火口,かこう
下降,かこう
火山,かざん
過失,かしつ
果実,かじつ
貸間,かしま
貸家,かしや
箇所,かしょ
かじる,かじる
課税,かぜい
下線,かせん
加速,かそく
～がち,～がち
